"""Remember Me"" Default Value","""Запомнить меня"" по умолчанию"
"(Not %s?)","(не %s?)"
"* Required Fields","* обязательные поля"
"Address","Адрес"
"Address Information","Информация об адресе"
"Already registered?","Уже зарегистрированы?"
"Back","Назад"
"Checkout as Guest","Оформить заказ как Гость"
"Checkout as a Guest or Register","Оформить заказ как Гость или Зарегистрироваться"
"City","Город"
"Close","Закрыть"
"Company","Компания"
"Continue","Продолжить"
"Country","Страна"
"Create an Account","Создать Аккаунт"
"Email Address","Email-почта"
"Enable ""Remember Me""","Доступно ""Запомнить меня"""
"Fax","Факс"
"Forgot Your Password?","Забыли пароль?"
"Forgot your password?","Забыли пароль?"
"Forgot Your Password","Забыли пароль?"
"General Options","Общие настройки"
"Loading next step...","Загрузка следующего шага..."
"Login","Войти"
"New Customers","Новые пользователи"
"Password","Пароль"
"Personal Information","Личная информация"
"Register","Зарегистрироваться"
"Registered Customers","Зарегистрированные пользователи"
"Remember Me","Запомнить меня"
"Save in address book","Сохранить в адресную книгу"
"Select State/Province...","Выбрать Область/Район..."
"Select a billing address from your address book or enter a new address.","Выберите адрес из адресной книги или введите новый."
"Ship to different address","Доставить на разные адреса"
"Ship to this address","Доставить на этот адрес"
"Sign Up for Newsletter","Подписаться на новости"
"State/Province","Область/Район"
"Street Address","Название улицы"
"Street Address %s","Название улицы %s"
"Submit","Подтвердить"
"Telephone","Телефон"
"To proceed to Checkout, please log in using your email address.","Чтобы оформить заказ, пожалуйста залогиньтесь, используя свой e-mail!"
"VAT Number","ИНН"
"Welcome, %s!","Добро пожаловать, %s!"
"What\'s this?","Что это?"
"What's this?","Что это?"
"Zip/Postal Code","Почтовый индекс"
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Выбирая Запомнить меня, вы будете иметь доступ к Корзине на этом компьютере, даже если выйдете из учетной записи нашего магазина"
