" - Edit"," - Edit"
"About Blog","Блог"
"Action","Действие"
"Add","Добавить"
"Add Child Category","Добавить дочернюю категорию"
"Add New","Добавить"
"Add New Post Attribute","Добавить новый атрибут поста"
"Add Post","Добавить пост"
"Add Root Category","Добавить корневую категорию"
"Add Tag","Добавить тег"
"Add category","Добавить категорию"
"Add option","Добавить опцию"
"Add post","Добавить пост"
"Add tag","Добавить тег"
"Advanced Configuration","Продвинутая конфигурация"
"After post content, it will show recent posts in same category","После того, как пост будет заполнен, он покажет недавние посты той же категории"
"Allow comments","Комментарии разрешены"
"Allow guest comments","Комментарии гостей разрешены"
"An error occurred while trying to delete the category.","Произошла ошибка при попытке удалить категорию."
"Approved","Утверждено"
"Are you sure?","Вы уверены?"
"Articles","Статьи"
"Assign category to Post","Назначить категорию посту"
"Assign post to Category","Назначить пост категории"
"Assign post to Tag","Назначить пост тегу"
"Assign tag to Post","Назначить тег посту"
"Attribute Information","Информация атрибута"
"Attribute with the same code already exists","Атрибут с таким же кодом уже существует"
"Attributes","Атрибуты"
"Back","Назад"
"Better Blog","Лучший блог"
"BetterBlog","Лучшийблог"
"BetterBlog Feeds","Лучшийблог фиды"
"Blog","Блог"
"Blog name","Имя блога"
"CSV","CSV"
"Can","Можно"
"Cannot move parent inside category","Нет возможности переместить родителя внутри категории"
"Categories","Категории"
"Categories rss feed","Категории rss фид"
"Category","Категории"
"Category API","Категории API"
"Category move error","Ошибка перемещения категории"
"Category view page","Страница просмотра категории"
"Change status","Изменить статус"
"Children","Дети"
"Collapse All","Свернуть все"
"Comment","Комментарий"
"Comment Form","Форма комментария"
"Comment Title","Заголовок комментария"
"Comment form has been disabled.","Форма комментария отключена."
"Comment title","Заголовок комментария"
"Comment was successfully deleted.","Комментарий был успешно удален."
"Comment was successfully saved","Комментарий был успешно сохранен"
"Comments","Комментарии"
"Content","Содержание"
"Could not find comment to delete.","Невозможно найти комментарий для удаления."
"Could not find tag to delete.","Невозможно найти тег для удаления."
"Create new attribute","Создать новый атрибут"
"Created at","Создан в"
"Custom Sitemap","Пользовательская карта сайта"
"Customer profile","Пользовательский профиль"
"Dark","Темный"
"Data cannot be null","Данные не могут быть пустыми"
"Declare attribute value saving scope","Объявить сохраняемый объем значения атрибута"
"Default Comment Form","Форма комментария по умолчанию"
"Default Values","Значения по умолчанию"
"Default: 10","По умолчанию: 10"
"Default: 5","По умолчанию: 5"
"Delete","Удалить"
"Delete Category","Удалить категорию"
"Delete File","Удалить файл"
"Delete Post","Удалить пост"
"Delete Post Attribute","Удалить атрибут поста"
"Delete Post comment","Удалить комментарий поста"
"Delete Tag","Удалить тег"
"Delete attribute","Удалить атрибут"
"Description","Описание"
"Disable Completely","Отключить полностью"
"Disabled","Отключен"
"Display posts in same category","Отобразить пост той же категории"
"Disqus Comment","Disqus комментарий"
"Disqus unique name","Disqus уникальное имя"
"E-mail","E-mail"
"Edit","Редактировать"
"Edit Post Attribute","Редактировать атрибут поста"
"Edit Post Attribute ","Редактировать атрибут поста"
"Enable Comment Widget","Включить виджет комментария"
"Enable Most Views Widget","Включить виджет самых просматриваемых"
"Enable WYSIWYG","Включить WYSIWYG"
"Enable rss","Включить rss"
"Enabled","Включен"
"Error saving post","Ошибка сохранения поста"
"Excel","Excel"
"Expand All","Расширить все"
"Facebook Comment","Facebook комментарий"
"Facebook: AppID","Facebook: AppID"
"Facebook: Color scheme","Facebook: цветовая схема"
"Facebook: Number of comment","Facebook: количество комментариев"
"Facebook: Order by","Facebook: сортировать по"
"File","Файл"
"File ","Файл"
"Footer","Нижний колонтитул"
"Frontend Properties","Свойства интерфейса"
"General","Общий"
"Generate Blog Sitemap","Общая карта сайта блога"
"Generate Blog Sitemap (Optional)","Общая карта сайта блога (Необязательно)"
"Get Feed","Получить фид"
"Get full information about attribute with list of options","Получить полную информацию о атрибутах со списком опций"
"Get list of non-default attributes","Получить список атрибутов не по умолчанию"
"Get list of possible attribute types","Получить список возможных типов атрибутов"
"Global","Глобальный"
"Guest comments are not allowed","Комментарии гостей не разрешены"
"Home","Главная"
"ID: %s","ID: %s"
"Id","Id"
"If you want to show recent comments, you should choose Comment Form is Default Comment Form. It cannot show Facebook, Disqus comment.","Если вы хотите показать недавние комментарии, вам следует выбрать форму комментария по умолчанию. Она не показывает Facebook, Disqus комментарии."
"Image","Изображение"
"Import AW Blog","Импортировать AW блог"
"Import from AW Blog","Импортировать из AW блога"
"Info","Информация"
"Leave empty for no prefix","Оставить пустым без префикса"
"Leave empty for no prefix. Default: blog","Оставить пустым без префикса. По умолчанию: блог"
"Leave empty to use default URL module/controller/action. Default URL: posts","Оставить пустым для использования URL по умолчанию module/controller/action. URL по умолчанию: посты"
"Levels to show (0 for all)","Уровни для показа (0 до всехl)"
"Light","Светлый"
"List","Список"
"Mageplaza","Mageplaza"
"Manage Attributes","Управлять атрибутами"
"Manage Categories","Управлять категориями"
"Manage Comments","Управлять комментариями"
"Manage Label / Options","Управлять логотипами / опциями"
"Manage Post Attributes","Управлять атрибутами постов"
"Manage Post attributes","Управлять атрибутами постов"
"Manage Posts","Управлять постами"
"Manage Tags","Управлять тегами"
"Meta","Мета"
"Meta description for posts list page","Мета описание для страницы списка постов"
"Meta information","Мета информация"
"Meta keywords for posts list page","Мета ключевые слова для страницы списка постов"
"Meta title for posts list page","Мета заголовок для страницы списка постов"
"Meta-description","Мета-описание"
"Meta-keywords","Мета-ключевые слова"
"Meta-title","Мета-заголовок"
"Most Views","Самые просматриваемые"
"Move","Переместить"
"Move category in tree","Переместить категорию в дереве"
"My Post Comments","Мои комментарии поста"
"My Posts Comments","Мои комментарии постов"
"My Posts comment view","Мой просмотр комментария постов"
"My Posts comments","Мои комментарии постов"
"Name","Имя"
"Name in %s","Имя в %"
"New Category","Новая категория"
"New Post Attribute","Новый атрибут поста"
"New Root Category","Новая корневая категория"
"News","Новости"
"Nickname","Имя"
"No","Нет"
"None","Никто"
"Note","Заметка"
"Number of most view posts","Количество самых просматриваемых постов"
"Number of recent posts","Количество недавих постов"
"Number of tags to display","Количество тегов для отображения"
"On %s %s wrote:","На %s %s написано:"
"On %s you wrote:","На s вы написали:"
"Override Categories","Переопределение категорий"
"Override Posts","Переопределение постов"
"Override Tags","Переопределение тегов"
"Pending","Ожидание"
"Please make sure that ","Пожалуйста, убедитесь, что"
"Please select comments to delete.","Пожалуйста, выберите комментарии для удаления."
"Please select comments.","Пожалуйста, выберите комментарии."
"Please select posts.","Пожалуйста, выберите посты."
"Please select tags to delete.","Пожалуйста, выберите теги для удаления."
"Please select tags.","Пожалуйста, выберите теги."
"Popular Tags","Популярные теги"
"Position","Положение"
"Position in the admin form","Положение в форме админа"
"Post","Пост"
"Post API","Пост API"
"Post Attributes","Атрибуты поста"
"Post Comment","Комментарий поста"
"Post Comments","Комментарий поста"
"Post Information","Информация поста"
"Post comment","Комментарий поста"
"Post view page","Страница просмотра поста"
"Post was saved","Пост был сохранен"
"Posted in","Опубликован в"
"Posted on","Опубликован"
"Poster e-mail","Рекламный e-mail"
"Poster email","Рекламный email"
"Poster name","Рекламное имя"
"Posts","Посты"
"Posts Comments","Комментарии постов"
"Posts list","Список постов"
"Posts rss feed","rss фиды постов"
"Product attributes API","API атрибутов продукта"
"Properties","Свойства"
"Read More","Читать"
"Recent Comments","Недавние комментарии"
"Recent posts","Недавние посты"
"Rejected","Отклонено"
"Relative to Website Base URL","Связанный с базовым URL сайта"
"Remove","Удалить"
"Remove attribute","Удалить атрибут"
"Remove category","Удалить категорию"
"Remove category from post","Удалить категорию из поста"
"Remove option","Удалить опцию"
"Remove post","Удалить пост"
"Remove post from category","Удалить пост из категории"
"Remove post from tag","Удалить пост из тега"
"Remove tag","Удалить тег"
"Remove tag from post","Удалить тег из поста"
"Reset","Сброс"
"Retrieve Post Comments","Извлечь комментарии поста"
"Retrieve attribute list","Извлечь список атрибутов"
"Retrieve attribute options","Извлечь опции атрибутов"
"Retrieve category info","Извлечь информацию категории"
"Retrieve list of categories","Извлечь список категорий"
"Retrieve list of posts","Извлечь список постов"
"Retrieve list of tags","Извлечь список тегов"
"Retrieve one level of categories","Извлечь один уровень категорий"
"Retrieve post info","Извлечь информацию поста"
"Retrieve tag info","Извлечь информацию тега"
"Reverse time","Обратный отсчет"
"Root","Корень"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Save Category","Сохранить категорию"
"Save Post","Сохранить пост"
"Save Post Attribute","Сохранить атрибут поста"
"Save Post comment","Сохранить комментарий поста"
"Save Tag","Сохранить тег"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Save this option before importing","Сохранить эту опцию перед импортированием"
"Scope","Объем"
"Set/Get current store view","Установить/Получить просмотр текущего магазина"
"Settings","Настройки"
"Short Description","Короткое описание"
"Show Blog Link in Footer Links","Показать ссылку блога в ссылках нижнего колонтитула"
"Show Blog Link in Top links","Показать ссылку блога в верхних ссылках"
"Show Sidebar Left","Показать боковое меню слева"
"Show Sidebar Right","Показать боковое меню справа"
"Show in rss","Показать в rss"
"Sidebar","Боковое меню"
"Social","Социальный"
"Status","Статус"
"Store View","Просмотр магазина"
"Store Views","Просмотры магазина"
"Store views","Просмотры магазина"
"Submit Comment","Отправить комментарий"
"Subscribe to RSS Feed","Подписаться на RSS F фид"
"Tag","Тег"
"Tag API","Тег API"
"Tag view page","Тег страницы просмотра"
"Tag was successfully deleted.","Тег был успешно удален."
"Tag was successfully saved","Тег был успешно сохранен"
"Tags","Теги"
"Tags list","Список тегов"
"Tags rss feed","rss фид тегов"
"Text to appear below the input.","Текст, повляющийся под полем ввода."
"The category has been deleted.","Категория была удалена."
"The category has been saved.","Категория была сохранена."
"The post attribute has been deleted.","Атрибут поста был удален."
"The post attribute has been saved.","Атрибут поста был сохранен."
"The posts has been deleted.","Пост был удален."
"There are no categories at this moment","На данные момент нет категорий"
"There are no posts at this moment","На данные момент нет постов"
"There was a problem saving the comment.","Была проблема сохранения комментария."
"There was a problem saving the tag.","Была проблема сохранения тега."
"There was an error deleting comments.","Была проблема удаления комментариев."
"There was an error deleting tag.","Была продлема удаления тега."
"There was an error deleting tags.","Была продлема удаления тегов."
"There was an error deleting the comment.","Была проблема удаления комментария."
"There was an error updating comments.","Была проблема обновления комментариев."
"There was an error updating posts.","Была проблема обновления постов."
"There was an error updating tags.","Была проблема обновления тегов."
"This attribute cannot be deleted.","Этот атрибут не может быть удален."
"This attribute cannot be updated.","Этот атрибут не может быть обновлен."
"This attribute is not deletable","Этот атрибут не удаляемый"
"This attribute no longer exists","Этот атрибут больше не существует"
"This comment no longer exists.","Это комментарий больше не существует."
"This post attribute cannot be edited.","Этот атрибут поста не может быть отредактирован."
"This post attribute no longer exists","Этот атрибут поста больше не существует"
"This post does not allow comments","Этот пост нельзя комментировать"
"This post no longer exists.","Этот пост больше не существует."
"This tag no longer exists.","Этот тег больше не существует."
"Time","Время"
"Title","Заголовок"
"Top Link","Верхняя ссылка"
"Topic","Тема"
"Total of %d comments were successfully updated.","Всего % комментариев было успешно обновлено."
"Total of %d posts were successfully updated.","Всего % постов было успешно обновлено."
"Total of %d tags were successfully deleted.","Всего % тегов было успешно удалено."
"Total of %d tags were successfully updated.","Всего % тегов было успешно обновлено."
"URL key","URL ключ"
"URL key for list page","URL ключ к странице списка"
"URL prefix","URL префикс"
"Unable to find an attribute to delete.","Нет возможности найти атрибут для удаления."
"Unable to find comment to save.","Нет возможности найти комментарий для сохранения."
"Unable to find tag to save.","Нет возможности найти тег для сохранения."
"Unable to post the comment.","Нет возможности отправить комментарий."
"Update","Обновить"
"Update Post Status","Обновить статус поста"
"Update Status","Обновить статус"
"Update attribute","Обновить атрибут"
"Update category","Обновить категорию"
"Update post","Обновить пост"
"Update tag","Обновить тег"
"Updated at","Обновляется"
"Url key","Url ключ"
"Url suffix","Url суффикс"
"Use Breadcrumbs","Использовать хлебные крошки"
"Use Default Value","Использовать значения по умолчанию"
"Use default config","Использовать конфиг по умолчанию"
"View All Tags","Просмотр всех тегов"
"View Details","Просмотр деталей"
"WYSIWYG Editor","WYSIWYG редактор"
"Website","Сайт"
"Welcome to our Blog","Добро пожаловать в наш блог"
"What goes after the dot. Leave empty for no suffix.","То, что идет после точки. Оставить пустым без суффикса."
"What goes after the dot. Leave empty for no suffix. Default: html","То, что идет после точки. Оставить пустым без суффикса. По умолчанию: html"
"Write Your Comment","Написать ваш комментарий"
"XML","XML"
"Yes","Да"
"You have submitted no comments for posts.","Вы не оставили ни одного комментария в этом посте."
"Your comment has been accepted for moderation.","Ваш комментарий был принят модерацией."
"Views","Просмотров"
